Model,MAE,RMSE,R2
Random Forest,957.1844473101049,1608.9668426098144,0.9727662000476527
Gradient Boosting,961.3791277449375,1515.3924181000057,0.9758418165717774
Linear Regression,1049.2216678552581,1643.5521017230396,0.9715828181461306
